Bewerken,Type,Lidkaartnummer,Organisatie/vereniging,Naam,Familienaam,Straat,Huisnummer,Bus,Pc,Gemeente,Geboortedatum,Vervalt,Status,Afdrukken,Prijs,ogm,E-mailadres,Nid,Betaald op,userGroups,status
bewerken,Groep,97319,RITCS BRUSSEL,,,A. DANSAERTSTRAAT,70,,1000,BRUSSEL,13/06/2016,01/01/2026,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0097/31928+++,RITCS@EHB.BE,19688,01/01/2025,membersGroup,inactive
bewerken,Groep,96541,T PLEINTJE,,,A. VAN LANDEGHEMPLEIN,4,,2830,WILLEBROEK,1/01/2016,01/07/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0096/54126+++,BS.PLEINTJE@G-O.BE,19622,01/07/2024,membersGroup,inactive
bewerken,Groep,207372,Sancta Maria BS,,,A. Van Landeghemstraat,117,,2830,Willebroek,,01/01/2026,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0207/37283+++,isabelle.deherdt@sanctamariawillebroek.be,28385,01/01/2025,membersGroup,inactive
bewerken,Groep,214286,Inspirant aan zee BuSO,,,Albert I-laan,54,,8760,Oostduinkerke,,01/10/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0214/28613+++,cindy.kindt@inspirant.be,35335,01/10/2024,membersGroup,inactive
bewerken,Groep,213744,Féd. Rég. des Sports d'Orient. (FRSO),,,Ancien Chemin de Neupont,3A,,6922,Halma,,01/08/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0213/74453+++,permanence@frso.be,34792,01/08/2024,membersGroup,inactive
bewerken,Groep,214813,Bergstijgers Kempen vzw,,,Asbroek,1,bus i,2230,HERSELT,,01/02/2026,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0214/81355+++,johan@bergstijgerskempen.be,35865,01/02/2025,membersGroup,inactive
bewerken,Groep,211008,GO! MIDDENSCHOOL,,,Astridlaan,33,,9400,NINOVE,,01/10/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0211/00833+++,adjunct@middenschool-ninove.be,32039,01/10/2024,membersGroup,inactive
bewerken,Groep,211783,Sport pour tous Wavre ASBL,,,av. du Centre sportif,22,,1300,wavre,,01/10/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0211/78332+++,ercolette@gmail.com,32816,01/10/2024,membersGroup,inactive
bewerken,Groep,209447,CS Notre Dame de la Sagesse,,,Av. Van Overbeke,10A,,1083,GANSHOREN,,01/11/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0209/44724+++,direction@ndsagesse.net,30474,01/11/2024,membersGroup,inactive
bewerken,Groep,210884,Ecole Christ Roi,,,Av. Wannecouter,113,,1020,Laken,,01/07/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0210/88406+++,direction@christroi.be,31915,01/07/2024,membersGroup,inactive
