Bewerken,Type,Lidkaartnummer,Organisatie/vereniging,Naam,Familienaam,Straat,Huisnummer,Bus,Pc,Gemeente,Geboortedatum,Vervalt,Status,Afdrukken,Prijs,ogm,E-mailadres,Nid,Betaald op,userGroups,status
bewerken,Groep,208471,De Kleine Prins,,,A. Debunnestraat,15,,8930,MENEN,,01/05/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0208/47118+++,boekhouding@dekleineprins.be,29487,01/05/2024,membersGroup,inactive
bewerken,Groep,211012,De Klim-Op,,,A. Puesstraat,46A,,1502,Lembeek,,01/05/2024,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0211/01237+++,secretariaat.de.klim-op@ringscholen.be,32043,01/05/2023,membersGroup,inactive
bewerken,Groep,98567,MUZIEKTH. TRANSPARANT VZW,,,A. RODENBACHSTRAAT,21,bus 1,2140,BORGERHOUT (ANTWERPEN),24/11/2016,01/12/2023,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0098/56715+++,EGLANTINE@TRANSPARANT.BE,19742,01/12/2022,membersGroup,inactive
bewerken,Groep,212429,kidifit vzw,,,A. van Cailliestraat,14,bus 0202,8430,Middelkerke,,01/01/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0212/42996+++,jeugdkampenkidifit@gmail.com,33468,01/01/2024,membersGroup,inactive
bewerken,Groep,205036,ESN Leuven vzw,,,A. Vesaliusstraat,44,,3000,Leuven,,01/04/2021,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0205/03675+++,localrepresentative@esnleuven.be,26036,01/04/2020,membersGroup,inactive
bewerken,Groep,210894,VBS Sint-Vincentius,,,Aaigemdorp,66,,9420,Aaigem,,01/05/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0210/89416+++,directie@vbsaaigem.be,31925,01/05/2024,membersGroup,inactive
bewerken,Groep,208251,Vige Hasselt,,,Achturenstraat,31,,3010,Kessel-Lo,,01/05/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0208/25189+++,bart@bartsimons.be,29266,01/05/2024,membersGroup,inactive
bewerken,Groep,99236,DE ZEVENSPRONG,,,ALBERTKANAALSTRAAT,31,,2560,NIJLEN,1/01/2017,01/06/2024,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0099/23605+++,DIRECTIE@BSDEZEVENSPRONG.BE,19803,01/06/2023,membersGroup,inactive
bewerken,Groep,207403,Luca School of Arts,,,Alexianenplein,1,,9000,GENT,,01/12/2022,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0207/40317+++,patrick.verlaak@luca-arts.be,28416,01/12/2021,membersGroup,inactive
bewerken,Groep,94542,GIMISPORTS BELGIUM BVBA,,,ALFONSLAAN,10,,9500,OPHASSELT,23/07/2015,01/05/2021,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0094/54264+++,MICHAEL@GIMISPORTS.BE,19503,01/05/2020,membersGroup,inactive
bewerken,Groep,210280,Nieuw Ophasselts Toneel vzw,,,Alfonslaan,87,,9500,Geraardsbergen,,01/02/2024,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0210/28081+++,karine_bauwens@hotmail.com,31310,01/02/2023,membersGroup,inactive
bewerken,Groep,208355,Thrillz VZW,,,Alice Nahonlei,2,,2900,SCHOTEN,,01/05/2023,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0208/35596+++,info@thrillcampz.be,29371,01/05/2022,membersGroup,inactive
bewerken,Groep,96036,CON CALORE,,,ALPENROOSSTRAAT,48,,2590,BERLAAR,7/01/2016,01/03/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0096/03606+++,GREET.GABRIEL@TELENET.BE,19561,01/03/2024,membersGroup,inactive
bewerken,Groep,208242,AGORA Theater VoG,,,Am Stellwerk,2,,4780,SANKT-VITH,,01/05/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0208/24280+++,alexandra.schumacher@agora-theater.net,29257,01/05/2024,membersGroup,inactive
bewerken,Groep,6872,ST.-NORBERTUSCOLLEGE,,,AMERIKALEI,47,,2000,ANTWERPEN,1/01/1900,01/10/2022,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0006/87282+++,BRUNO.PEETERS@SINT-NORBERTUS.BE,18536,01/10/2021,membersGroup,inactive
bewerken,Groep,35791,BS BERKENBOOM,,,ANKERSTRAAT,39,,9100,SINT-NIKLAAS,7/09/2007,01/11/2022,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0035/79195+++,GVB.BERKENBOOM.ANKER@PANDORA.BE,18803,01/11/2021,membersGroup,inactive
bewerken,Groep,211051,SBS De Beren,,,Antwerpsebaan,152,,2040,Berendrecht,,01/06/2024,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0211/05176+++,deberen@so.antwerpen.be,32082,01/06/2023,membersGroup,inactive
bewerken,Groep,74530,JONG VZW,,,ANTWERPSESTEENWEG,195,,9040,SINT-AMANDSBERG (GENT),30/01/2012,01/03/2023,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0074/53034+++,INFO@VZWJONG.BE,19081,01/03/2022,membersGroup,inactive
bewerken,Groep,201591,Thomas More Campus Lier,,,Antwerpsestraat,99,,2500,LIER,,01/03/2023,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0201/59125+++,ilse.scheers@thomasmore.be,22289,01/03/2022,membersGroup,inactive
bewerken,Groep,211948,SBS De Oogappel,,,Appelterre-Dorp,48,,9400,Appelterre-Eichem,,01/10/2024,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0211/94803+++,appelterre@sbsninove.be,32983,01/10/2023,membersGroup,inactive
bewerken,Groep,77278,BS DE BOOMGAARD,,AFD NIEUWPOORT STAD,ARSENAALSTRAAT,35,,8620,NIEUWPOORT,3/06/2012,01/05/2025,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0077/27866+++,BS.NIEUWPOORT@G-O.BE,19122,01/05/2024,membersGroup,inactive
bewerken,Groep,207440,HANDS FOR MUSIC,,,atomveldstraat,8,bus 6,9450,HAALTERT,,01/12/2022,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0207/44054+++,edr@eventbox.be,28454,01/12/2021,membersGroup,inactive
bewerken,Groep,210253,DemoTerra,,,Av. des Croix de Guerre,193,bus 2,1120,Neder-Over-Heembeek,,01/02/2024,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0210/25354+++,info@demoterra.eu,31283,01/02/2023,membersGroup,inactive
bewerken,Groep,206033,Hanoar Hatzuini ASBL,,,Av. Prince charles,9,,1410,WATERLOO,,01/10/2024,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0206/03305+++,hh11belgium@gmail.com,27040,01/10/2023,membersGroup,inactive
bewerken,Groep,205041,Safa asbl,,,Av. R. Vander Bruggen,61,,1070,ANDERLECHT,,01/05/2022,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0205/04180+++,ines.naciri1993@gmail.com,26041,01/05/2021,membersGroup,inactive
bewerken,Groep,204907,Mentor Escale ASBL,,,Av. Sergent Vrithoff,141,bus 11,5000,NAMUR,,01/11/2022,Betaald,Lidkaart afprinten | Etiket afprinten,22,+++000/0204/90743+++,aplatiau@mentorescale.be,25905,01/11/2021,membersGroup,inactive
